instance,variant,n_runs,best_cost_mean,best_cost_std,best_cost_median,best_cost_min,best_cost_max,elapsed_mean,elapsed_std,elapsed_median,elapsed_min,elapsed_max,gap_mean,gap_median,gap_n,total_ls_applications_mean,ls_per_iter_mean
A-n32-k5,acs_baseline,30,1011.063678049508,39.0842109201401,1019.4764149814888,940.2352085104674,1074.1617558678013,0.08890764724928886,0.006020386761979567,0.08747102099005133,0.08680875017307699,0.11883624992333353,28.96220383284539,30.035257012945003,30,0.0,0.0
A-n32-k5,acs_cl15,30,1023.805929262915,26.71248516708509,1021.4545306827588,946.7127917207965,1084.9097454559549,0.07534154173141966,0.0032858722565545766,0.0746575000230223,0.0732857920229435,0.09146125009283423,30.587490977412624,30.2875676891274,30,0.0,0.0
A-n32-k5,acs_cl15_ls2opt_adaptive,30,994.8856675541142,29.46773320720172,996.6634583068915,916.2650697244251,1072.7430130241034,0.09744769437238573,0.015475620996105945,0.09293518750928342,0.08782770810648799,0.17332358402200043,26.898682085983964,27.125441110572893,30,67.93333333333334,2.2644444444444445
A-n32-k5,acs_cl15_ls2opt_adaptive_q0rho,30,975.0738631177737,35.16940347365838,986.7097150045988,884.8517371049511,1027.1881537037104,0.09782460146428397,0.0028523516483971592,0.09745962487068027,0.09242925001308322,0.1071186251938343,24.371666214001756,25.855830995484553,30,66.73333333333333,2.224444444444444
A-n32-k5,acs_cl15_ls2opt_adaptive_q0sched,30,972.6202949291081,40.19601027541622,981.3395851252588,884.8517371049511,1023.3821413709793,0.09880697634847214,0.003157225109679494,0.09778868802823126,0.09295641584321856,0.10525349993258715,24.058711087896445,25.170865449650364,30,65.2,2.1733333333333333
A-n32-k5,acs_cl15_ls2opt_fixed,30,996.7175231639482,29.498427293710662,998.4429449527628,916.2650697244251,1072.7430130241034,0.08544317219251146,0.006870467480200277,0.08263389603234828,0.0819487078115344,0.10745754209347069,27.132337138258688,27.35241644805648,30,30.0,1.0
A-n33-k5,acs_baseline,30,807.3527855608559,18.77371401475897,816.8759156159513,748.8373674206523,829.2467028503046,0.09658809576649219,0.007324246831411733,0.09517202107235789,0.09369612508453429,0.13483804208226502,,,0,0.0,0.0
A-n33-k5,acs_cl15,30,808.0469456988932,23.361286801661915,816.8759156159513,738.9051209481875,831.9003600333444,0.07891260836428653,0.0007608398884884825,0.0787053540116176,0.07798724994063377,0.08119704201817513,,,0,0.0,0.0
A-n33-k5,acs_cl15_ls2opt_adaptive,30,776.7029394344844,26.44339184765403,781.9024255910099,717.7060424192604,806.5455802356101,0.0924360527889803,0.002618503578026691,0.0926577920326963,0.08645987510681152,0.0975117499474436,,,0,63.2,2.106666666666667
A-n33-k5,acs_cl15_ls2opt_adaptive_q0rho,30,770.9248251664052,24.80450866738685,778.4620577951769,711.7895036056346,800.4563363895511,0.10072734587204953,0.012921400327037067,0.09853841667063534,0.0931423339061439,0.16791495797224343,,,0,65.73333333333333,2.1911111111111112
A-n33-k5,acs_cl15_ls2opt_adaptive_q0sched,30,768.1927217505715,25.78422572760142,771.3421394011689,704.9135284301539,801.5745498180528,0.0992916417075321,0.005458390628507831,0.09858433343470097,0.09515137504786253,0.12683216691948473,,,0,66.06666666666666,2.2022222222222223
A-n33-k5,acs_cl15_ls2opt_fixed,30,776.6174701301693,26.421462980301655,780.7126410699462,717.7060424192604,806.5455802356101,0.08506037219582746,0.00046878044374277155,0.08493247942533344,0.0840426660142839,0.08605233300477266,,,0,30.0,1.0
A-n33-k6,acs_baseline,30,905.0833748258891,29.498307321635608,915.8414762091367,844.1640588843838,960.12119752693,0.10173457635877033,0.008552111675666187,0.10017602099105716,0.09476500004529953,0.1367523327935487,,,0,0.0,0.0
A-n33-k6,acs_cl15,30,916.9201660294023,27.200948244896015,923.6352792132816,847.0069274807206,955.4379656803167,0.08460438610830655,0.008710692533458374,0.08326206251513213,0.07858425006270409,0.12657879083417356,,,0,0.0,0.0
A-n33-k6,acs_cl15_ls2opt_adaptive,30,893.5787917636907,26.207590272771935,899.3136717870467,809.7329438670602,924.4437635516891,0.0932355499593541,0.0054601250757588945,0.09250810404773802,0.08913466590456665,0.12075512506999075,,,0,66.66666666666667,2.2222222222222223
A-n33-k6,acs_cl15_ls2opt_adaptive_q0rho,30,881.3961602819861,25.469856981979902,883.7569120146094,807.6410964365461,921.160554753493,0.10368436517504355,0.019159373921494787,0.09815362491644919,0.09456891589798033,0.19994445820339024,,,0,66.73333333333333,2.2244444444444444
A-n33-k6,acs_cl15_ls2opt_adaptive_q0sched,30,886.0213547530407,21.392015697720378,892.5964524452904,807.6410964365461,915.7838433740302,0.09799506533890963,0.0015206364671306808,0.0977012503426522,0.09533599996939301,0.10138079198077321,,,0,67.0,2.2333333333333334
A-n33-k6,acs_cl15_ls2opt_fixed,30,893.5787917636907,26.207590272771935,899.3136717870467,809.7329438670602,924.4437635516891,0.08663366534747183,0.0018854872403024382,0.08595218742266297,0.08449225011281669,0.09141554101370275,,,0,30.0,1.0
A-n34-k5,acs_baseline,30,877.6031361763215,7.532430772685738,875.3322254723082,860.7864783809941,892.523851717452,0.10326263885945082,0.007266350541011252,0.10107597894966602,0.10000045807100832,0.13813499989919364,,,0,0.0,0.0
A-n34-k5,acs_cl15,30,880.3993768365436,6.583777486592016,880.5014117104058,869.728552632838,892.523851717452,0.08510416527278722,0.0028839475456302215,0.08439375006128103,0.083404750097543,0.09930037497542799,,,0,0.0,0.0
A-n34-k5,acs_cl15_ls2opt_adaptive,30,839.1356610303518,3.906789063101941,841.0732869776765,830.4315927075738,845.7202580349212,0.10779504713912805,0.0076200379665038575,0.10599212546367198,0.09969208296388388,0.13987954193726182,,,0,66.26666666666667,2.2088888888888887
A-n34-k5,acs_cl15_ls2opt_adaptive_q0rho,30,839.3741854886306,3.400677280890958,841.0732869776765,830.2220598127839,845.7202580349212,0.11058153328485787,0.0035620165153367653,0.11011375044472516,0.10305229108780622,0.12135866703465581,,,0,64.13333333333334,2.137777777777778
A-n34-k5,acs_cl15_ls2opt_adaptive_q0sched,30,840.1464877863351,2.6093070398141824,841.3410312876506,836.5009566239723,845.7202580349212,0.11016075132259479,0.004142137173212095,0.10949379147496074,0.105007333913818,0.1279357080347836,,,0,65.4,2.18
A-n34-k5,acs_cl15_ls2opt_fixed,30,840.204106678692,3.865655578276599,841.4165037912867,832.3561230132254,845.7202580349212,0.09759548757380496,0.014044444466007883,0.0938794381218031,0.0923568750731647,0.16933374991640449,,,0,30.0,1.0
