instance,variant,n_runs,best_cost_mean,best_cost_std,best_cost_median,best_cost_min,best_cost_max,elapsed_mean,elapsed_std,elapsed_median,elapsed_min,elapsed_max,gap_mean,gap_median,gap_n,total_ls_applications_mean,ls_per_iter_mean
A-n32-k5,acs_baseline,30,1011.063678049508,39.0842109201401,1019.4764149814888,940.2352085104674,1074.1617558678013,0.09592831941166272,0.012761183584218015,0.09173827106133103,0.09034145902842283,0.15608950005844235,28.96220383284539,30.035257012945003,30,0.0,0.0
A-n32-k5,acs_cl15,30,1023.805929262915,26.71248516708509,1021.4545306827588,946.7127917207965,1084.9097454559549,0.09220411537680775,0.026143476462320597,0.08123752102255821,0.07657624990679324,0.18120279209688306,30.587490977412624,30.2875676891274,30,0.0,0.0
A-n32-k5,acs_cl15_ls2opt_fixed,30,996.7175231639482,29.498427293710662,998.4429449527628,916.2650697244251,1072.7430130241034,0.08655993065331131,0.0050067132668632375,0.08544472954235971,0.0845817499794066,0.1119864999782294,27.132337138258688,27.35241644805648,30,30.0,1.0
A-n32-k5,acs_cl15_ls2opt_fixed_q0sched,30,972.9498272070597,40.494577621129565,981.3395851252588,884.8517371049511,1027.1881537037104,0.0939636861362184,0.007279668036960985,0.09110904205590487,0.08984916703775525,0.11562891700305045,24.1007432662066,25.170865449650364,30,30.0,1.0
A-n32-k5,acs_clsqrtn_2opt_q0sched,30,955.0495539428252,58.60391019455151,982.5022676568449,824.5581156959953,1009.87959583167,0.08419323614798487,0.006175970842068022,0.08227114588953555,0.08118479186668992,0.11021574982441962,21.817545145768538,25.319166792964907,30,30.0,1.0
A-n32-k5,acs_nocl_2opt_q0sched,30,954.4241923069217,38.77266276926692,962.3155484172976,824.5581156959953,1014.5062961372444,0.10782969581584136,0.00753985510936522,0.10508120793383569,0.10414258297532797,0.1306102080270648,21.7377796309849,22.744330155267555,30,30.0,1.0
A-n32-k5,acs_nocl_none,30,1011.063678049508,39.0842109201401,1019.4764149814888,940.2352085104674,1074.1617558678013,0.09411030005042752,0.008594508089151784,0.09098639548756182,0.08982216706499457,0.12558354204520583,28.96220383284539,30.035257012945003,30,0.0,0.0
A-n34-k5,acs_baseline,30,877.6031361763215,7.532430772685738,875.3322254723082,860.7864783809941,892.523851717452,0.1100580583093688,0.011164405012788425,0.10515760409180075,0.10241229203529656,0.14344545919448137,12.80245966276623,12.510568826774842,30,0.0,0.0
A-n34-k5,acs_cl15,30,880.3993768365436,6.583777486592016,880.5014117104058,869.728552632838,892.523851717452,0.09622229715654006,0.019586572366263565,0.0883610415039584,0.08646499994210899,0.17329358286224306,13.161873629375792,13.174988651723119,30,0.0,0.0
A-n34-k5,acs_cl15_ls2opt_fixed,30,840.204106678692,3.865655578276599,841.4165037912867,832.3561230132254,845.7202580349212,0.09978716522455215,0.007902494530717266,0.09707627049647272,0.09515529102645814,0.12589024985209107,7.995386462556815,8.15122156700343,30,30.0,1.0
A-n34-k5,acs_cl15_ls2opt_fixed_q0sched,30,840.3201698923655,2.9813010615999174,841.4165037912867,832.3561230132254,845.7202580349212,0.10350908204757919,0.006669974894195865,0.10088783351238817,0.10005004215054214,0.12415558309294283,8.010304613414604,8.15122156700343,30,30.0,1.0
A-n34-k5,acs_clsqrtn_2opt_q0sched,30,839.7721492207544,3.1070516201968625,841.4165037912867,832.3561230132254,843.415450664183,0.09161771398503334,0.007269979320200859,0.08907231246121228,0.08811491704545915,0.11349954106844962,7.939864938400314,8.15122156700343,30,30.0,1.0
A-n34-k5,acs_nocl_2opt_q0sched,30,832.7573393361647,5.335716890630269,830.4315927075738,823.9187063415677,842.2534791366677,0.11926907636225223,0.006103215146177206,0.11746295809280127,0.11656020791269839,0.1424466660246253,7.038218423671565,6.739279268325685,30,30.0,1.0
A-n34-k5,acs_nocl_none,30,877.6031361763215,7.532430772685738,875.3322254723082,860.7864783809941,892.523851717452,0.10959486252007385,0.018926482158283135,0.10376797954086214,0.10252525005489588,0.20037662493996322,12.80245966276623,12.510568826774842,30,0.0,0.0
A-n36-k5,acs_baseline,30,1035.6257733279892,14.572008213413374,1038.5489629824795,996.8634689935697,1057.4585021835017,0.11948746391572058,0.012610753343936005,0.11207197955809534,0.11052275006659329,0.1575801249127835,29.61524071689478,29.981096743739606,30,0.0,0.0
A-n36-k5,acs_cl15,30,1038.6951860797417,19.52288367124496,1037.818041165914,980.0623959449102,1070.3036370681186,0.09285784580279141,0.005609924348079502,0.09115543763618916,0.09019166696816683,0.11313195805996656,29.999397506851256,29.889617167198274,30,0.0,0.0
A-n36-k5,acs_cl15_ls2opt_fixed,30,990.171876020835,11.586390265857721,992.8130473936491,966.288400450327,1002.1740181402096,0.10811794309411198,0.01757183134855681,0.10216110455803573,0.1003846658859402,0.1913962080143392,23.926392493220913,24.25695211434907,30,30.0,1.0
A-n36-k5,acs_cl15_ls2opt_fixed_q0sched,30,975.6690057982978,17.6961160215085,975.3093002319006,943.5930289677582,1002.1740181402096,0.11264928609598428,0.008915520878590634,0.10895002097822726,0.10679224994964898,0.14438649988733232,22.11126480579447,22.066245335657136,30,30.0,1.0
A-n36-k5,acs_clsqrtn_2opt_q0sched,30,983.9672850881238,16.284070074032243,977.9796438895239,954.3440680683027,1007.7978058823271,0.10265203744638711,0.008304902162791157,0.09881204192060977,0.09744629100896418,0.12595683289691806,23.149847945947933,22.400456056260822,30,30.0,1.0
A-n36-k5,acs_nocl_2opt_q0sched,30,967.7889913153192,24.72280456174825,974.905518736816,902.0041290092339,1002.8893975098822,0.13492533474539717,0.01069133318313628,0.1292744380189106,0.126309874933213,0.16697691613808274,21.1250302021676,22.01570947895069,30,30.0,1.0
A-n36-k5,acs_nocl_none,30,1035.6257733279892,14.572008213413374,1038.5489629824795,996.8634689935697,1057.4585021835017,0.1161554957119127,0.01109303992757259,0.11123479157686234,0.1104516671039164,0.15804970799945295,29.61524071689478,29.981096743739606,30,0.0,0.0
A-n37-k5,acs_baseline,30,872.1400181559042,21.754808852057888,872.529454025444,833.6619948495202,906.0500148329838,0.12311576522576312,0.011631892914627386,0.11845166701823473,0.11585350008681417,0.15332487504929304,30.364726181749493,30.422937821441558,30,0.0,0.0
A-n37-k5,acs_cl15,30,892.0165567897164,16.692693231556994,897.6022351297115,859.0745501312439,915.1223431558155,0.09573207500701149,0.007745575780631117,0.09286166657693684,0.09220383292995393,0.12001591688022017,33.335808189793205,34.170737687550314,30,0.0,0.0
A-n37-k5,acs_cl15_ls2opt_fixed,30,842.447458862327,21.214214714856286,845.205156326798,786.7685954859854,872.2908610481086,0.11196201806887984,0.013493885471084058,0.10706545796710998,0.10576120903715491,0.17052745912224054,25.926376511558583,26.33858838965591,30,30.0,1.0
A-n37-k5,acs_cl15_ls2opt_fixed_q0sched,30,823.8446316436892,23.381215931261767,822.5706104700248,768.1278479520114,864.8377353268655,0.11647474449904015,0.007692380120971206,0.11423947953153402,0.1119556250050664,0.14273620885796845,23.145684849579848,22.95524820179743,30,30.0,1.0
A-n37-k5,acs_clsqrtn_2opt_q0sched,30,837.0020693362234,19.325117042531733,838.7152819017838,790.8005942275121,877.1312098474459,0.10503106925946971,0.0057796144478644935,0.10321025003213435,0.10135062481276691,0.1257256658282131,25.112416941139532,25.368502526425083,30,30.0,1.0
