instance,variant,seed,best_cost,gap_percent,elapsed_seconds,feasible,git_commit,n_routes,candidate_list_size,ls_mode,total_ls_applications,ls_per_iter,use_q0_schedule,q0_min,q0_max,rho,best_known
A-n32-k5,acs_cl15,3,1006.2785083821323,28.35185055894544,0.10325445793569088,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,4,1022.464159757692,30.416346907868874,0.07714350009337068,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,5,1021.695221073132,30.318267994021937,0.07962758396752179,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,6,1054.4129228040922,34.49144423521584,0.07694254093803465,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,7,1005.2609816534278,28.222063986406614,0.07716954196803272,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,8,1017.0695612327927,29.7282603613256,0.08733604196459055,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,9,1021.4545306827588,30.2875676891274,0.17078737495467067,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,10,1021.4545306827588,30.2875676891274,0.08717087493278086,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,11,1030.4095472536824,31.42978919052071,0.07686016708612442,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,12,1028.5445453952661,31.1919063004166,0.07903537503443658,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,13,1019.6062735343559,30.05182060387192,0.07855520793236792,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,14,1005.3721745541848,28.2362467543603,0.0767149580642581,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,15,1021.4545306827588,30.2875676891274,0.08156320895068347,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,16,1021.4545306827588,30.2875676891274,0.0830091661773622,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,17,968.0145098167919,23.47123849703979,0.08187408419325948,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,18,946.7127917207965,20.75418261744854,0.07892958307638764,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,19,1015.7075152289549,29.554530003693223,0.11463337508030236,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,20,1056.5652485255303,34.765975577236006,0.087827208917588,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,21,1016.3133919796253,29.631810201482818,0.18120279209688306,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,22,1062.9589520074696,35.581498980544595,0.08805420901626348,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,23,1008.1112586862334,28.58561973038692,0.09153662505559623,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,24,1019.6773605798481,30.06088782906226,0.09008154086768627,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,25,1062.9893980886054,35.585382409260895,0.12010474991984665,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,26,1019.1639839653417,29.995406118028278,0.12366008409298956,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,27,1038.6075019844386,32.475446681688595,0.07931304187513888,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,28,1021.6721555637607,30.3153259647654,0.08091183309443295,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
A-n32-k5,acs_cl15,29,1018.168608780645,29.868444997531242,0.07657624990679324,True,87a65c0,5,15,none,0,0.0,False,0.7,0.95,0.1,784.0
