instance,variant,n_runs,best_cost_mean,best_cost_std,best_cost_median,best_cost_min,best_cost_max,elapsed_mean,elapsed_std,elapsed_median,elapsed_min,elapsed_max,gap_mean,gap_median,gap_n,total_ls_applications_mean,ls_per_iter_mean
A-n32-k5,acs_baseline,20,1000.844245847539,39.591454418644204,1005.678705973016,940.2352085104674,1074.1617558678013,0.10192503533326089,0.021982138895399666,0.09219966642558575,0.0904604580719024,0.1833385000936687,27.658704827492233,28.27534514961939,20,0.0,0.0
A-n32-k5,acs_cl15,20,1019.4975008862978,28.63927104014249,1021.4545306827588,946.7127917207965,1084.9097454559549,0.07842526853783056,0.0038075603104920745,0.07690447953063995,0.07653729105368257,0.09377358295023441,30.03794654161959,30.2875676891274,20,0.0,0.0
A-n32-k5,acs_cl15_ls2opt_fixed,20,998.2936043718431,32.55250743533537,998.7503956343063,916.2650697244251,1072.7430130241034,0.0894528333679773,0.007090578616825944,0.0869470004690811,0.0853202089201659,0.10867099999450147,27.333367904571816,27.39163209621254,20,30.0,1.0
A-n32-k5,acs_cl15_ls2opt_fixed_q0sched,20,968.8893626224966,43.25664216765927,976.0521784292864,884.8517371049511,1027.1881537037104,0.09455979996128008,0.006935200820769803,0.09152620832901448,0.09042824991047382,0.11407374986447394,23.582826865114374,24.496451330266126,20,30.0,1.0
