instance,variant,n_runs,best_cost_mean,best_cost_std,best_cost_median,best_cost_min,best_cost_max,elapsed_mean,elapsed_std,elapsed_median,elapsed_min,elapsed_max,gap_mean,gap_median,gap_n,total_ls_applications_mean,ls_per_iter_mean
A-n32-k5,acs_baseline,30,1013.81031372652,33.62782364446965,1021.4925384695038,920.2707441050712,1084.7876837118238,0.09926102087677767,0.015056891308250967,0.09342733293306082,0.0906013329513371,0.1542677499819547,29.31254001613775,30.292415621110173,30,0.0,0.0
A-n32-k5,acs_cl15,30,1025.2468524860844,31.717434075088743,1029.477046324474,923.450573726018,1067.7166707854576,0.08068638745850573,0.00847626756311246,0.07814277114812285,0.07630095817148685,0.11143058398738503,30.771282204857744,31.310847745468642,30,0.0,0.0
A-n32-k5,acs_cl15_ls2opt_fixed,30,985.0881405271873,28.605389028926645,992.1914933178851,916.2650697244251,1015.60803098312,0.08987249457277358,0.008579277352621706,0.08728302037343383,0.08551599993370473,0.12188895884901285,25.648997516222888,26.555037412995556,30,30.0,1.0
A-n32-k5,acs_cl15_ls2opt_fixed_q0sched,30,975.078247825666,31.50184860513125,991.10424895436,912.242962170079,1009.87959583167,0.09830975407579293,0.012438396233272043,0.0941434579435736,0.09145199996419251,0.141922292066738,24.372225487967608,26.416358284994892,30,30.0,1.0
A-n32-k5,acs_clsqrtn_2opt_q0sched,30,958.9343523003457,52.56237559680322,987.6495820030366,824.5581156959953,1009.87959583167,0.08674405269169559,0.00816947218848186,0.08413064549677074,0.08217854099348187,0.11921850009821355,22.31305514035023,25.975711990183246,30,30.0,1.0
A-n32-k5,acs_nocl_2opt_q0sched,30,963.5886394773254,45.47663707574939,971.0518298254681,846.8283703885876,1023.1527591090039,0.10933000693718592,0.009668174426939177,0.10669831256382167,0.10465008299797773,0.14790050010196865,22.9067142190466,23.858651763452553,30,30.0,1.0
A-n34-k5,acs_baseline,30,879.2208464954576,6.144360427270113,879.3460679216146,869.8650898848844,888.3770569623348,0.11048325956022988,0.012935708243412683,0.10579110344406217,0.10358345811255276,0.1496257500257343,13.010391580392973,13.026486879384915,30,0.0,0.0
A-n34-k5,acs_cl15,30,880.3071821803078,6.007182717537434,879.9429375527975,869.728552632838,887.9006510427425,0.09071184311372539,0.008579986091314997,0.08816060447134078,0.08684891695156693,0.12228274997323751,13.150023416491974,13.10320534097655,30,0.0,0.0
A-n34-k5,acs_cl15_ls2opt_fixed,30,839.1077525594098,3.8579266076167364,841.4165037912867,830.4315927075738,843.415450664183,0.10197290557747087,0.010205552995608552,0.09815229196101427,0.09646129189059138,0.13394962484017015,7.854466909949868,8.15122156700343,30,30.0,1.0
A-n34-k5,acs_cl15_ls2opt_fixed_q0sched,30,839.2891531000531,4.158973200942924,841.4165037912867,830.2220598127839,845.7202580349212,0.1064111014129594,0.01142335390700421,0.10292889538686723,0.10109512507915497,0.1490835000295192,7.877783174814028,8.15122156700343,30,30.0,1.0
A-n34-k5,acs_clsqrtn_2opt_q0sched,30,841.013765052443,1.2691628647697477,841.4165037912867,837.4884547861147,842.2534791366677,0.09519591655116529,0.010390637843555636,0.09147664601914585,0.08760008309036493,0.13055104110389948,8.099455662267742,8.15122156700343,30,30.0,1.0
A-n34-k5,acs_nocl_2opt_q0sched,30,836.5649986481791,6.283796934080399,840.6790186721084,823.9187063415677,845.7202580349212,0.13450870557377737,0.02276117988763535,0.12006149999797344,0.11456166603602469,0.18542316602542996,7.5276347876837,8.056429135232449,30,30.0,1.0
A-n36-k5,acs_baseline,30,1036.3662859354722,13.565651918973396,1040.508603316585,994.9175669275671,1055.9884372564122,0.11153809579554945,0.0034304760504668395,0.11038714542519301,0.1089106670115143,0.12323445803485811,29.70792064273746,30.226358362526295,30,0.0,0.0
A-n36-k5,acs_cl15,30,1046.6297023551624,14.724865162122201,1046.33076118784,1018.47579660656,1070.3036370681186,0.09627702224534004,0.017613539002043307,0.09060708351898938,0.0890668339561671,0.16675633285194635,30.99245336109667,30.95503894716393,30,0.0,0.0
